score,directness,posted_at,source,company,title,location,url,salary_min,salary_max,required_years,tech_tags,matched_groups,preferred_location,alt_sources
145,35,2026-05-13T00:00:00+00:00,linkedin,Gartner,Data Scientist,"Irving, TX",https://www.linkedin.com/jobs/view/data-scientist-at-gartner-4414173538,,,1,"spark,python,sql,aws,azure",data,True,
130,35,2026-05-13T00:00:00+00:00,linkedin,EssilorLuxottica,Data &amp; ML Engineer,"Dallas, TX",https://www.linkedin.com/jobs/view/data-ml-engineer-at-essilorluxottica-4412975142,,,0,"databricks,spark,airflow,python,sql,aws,azure,gcp,kubernetes",data,True,
105,35,2026-05-12T00:00:00+00:00,linkedin,Infosys,AWS Data Engineer,"Plano, TX",https://www.linkedin.com/jobs/view/aws-data-engineer-at-infosys-4413586677,,,3,"python,aws",data,True,
100,35,2026-05-11T00:00:00+00:00,linkedin,Wingstop Restaurants Inc.,Data Scientist - Machine Learning,"Dallas, TX",https://www.linkedin.com/jobs/view/data-scientist-machine-learning-at-wingstop-restaurants-inc-4413047402,,,3,"snowflake,airflow,tableau,power bi,python,aws,azure,gcp,kubernetes",data,True,
75,35,2026-05-12T00:00:00+00:00,linkedin,Upside,Engineering Manager - Data Engineering,"Austin, TX",https://www.linkedin.com/jobs/view/engineering-manager-data-engineering-at-upside-4406581286,185000,215000,3,"snowflake,dbt,aws",data,False,
70,35,2026-05-13T00:00:00+00:00,linkedin,"O2 Technologies,Inc",Ontology Data Engineer,"Tomball, TX",https://www.linkedin.com/jobs/view/ontology-data-engineer-at-o2-technologies-inc-4414175322,,,0,"dbt,python",data,False,
60,35,2026-05-12T00:00:00+00:00,linkedin,Podium,Analytics Engineer,"Lehi, UT",https://www.linkedin.com/jobs/view/analytics-engineer-at-podium-4413484164,,,3,"snowflake,dbt,python,sql",data,False,
55,35,2026-05-13T00:00:00+00:00,linkedin,hackajob,Data Visualization Engineer,United States,https://www.linkedin.com/jobs/view/data-visualization-engineer-at-hackajob-4413869766,115400,192300,3,python,data,False,
50,35,2026-05-10T00:00:00+00:00,linkedin,hackajob,Investment Data &amp; Analytics Engineer- Vanguard Personalized Indexing,"Oakland, CA",https://www.linkedin.com/jobs/view/investment-data-analytics-engineer-vanguard-personalized-indexing-at-hackajob-4403305085,90000,150000,3,"python,aws",data,False,
35,35,2026-05-09T00:00:00+00:00,linkedin,BeaconFire Inc.,Data Engineer,"New Jersey, United States",https://www.linkedin.com/jobs/view/data-engineer-at-beaconfire-inc-4412441833,65000,80000,0,python,data,False,
